"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN"
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-03-28",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-03-29",,"0.12",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-03-30",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-03-31",,"0.05",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-04-01",,"0.03",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-04-02",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-04-03",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-04-04",,"0.12",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-04-05",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-04-12",,"0.05",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-04-13",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-04-14",,"0.75",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-04-15",,"0.85",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-04-16",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-04-17",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-04-18",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-02",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-03",,"0.95",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-04",,"0.02",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-05",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-06",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-07",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-08",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-09",,"0.39",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-10",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-11",,"0.02",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-12",,"0.10",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-13",,"0.63",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-14",,"0.15",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-15",,"0.85",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-16",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-17",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-18",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-19",,"0.06",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-20",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-21",,"0.47",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-22",,"0.85",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-23",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-24",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-25",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-26",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-27",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-28",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-29",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-30",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-05-31",,"0.45",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-01",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-02",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-03",,"0.02",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-04",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-05",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-06",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-07",,"0.11",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-09",,"1.15",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-10",,"0.84",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-11",,"0.41",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-12",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-13",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-14",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-15",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-16",,"1.11",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-17",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-18",,"0.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-19",,"1.00",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-20",,"0.02",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-21",,"0.71",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-22",,"1.83",,,
"US1ILDP0098","DOWNERS GROVE 0.9 S, IL US","2018-06-23",,"0.49",,,
